会员卡号,入会时间,性别,会员卡级别,工作地,所属国家,年龄
54993,2006/11/2,男,6,北京,CN,31
28065,2007/2/19,男,6,北京,CN,42
55106,2007/2/1,男,6,北京,CN,40
21189,2008/8/22,男,5,CA,US,64
39546,2009/4/10,男,6,贵州,CN,48
56972,2008/2/10,男,6,广东,CN,64
44924,2006/3/22,男,6,新疆,CN,46
22631,2010/4/9,女,6,浙江,CN,50
32197,2011/6/7,男,5,,FR,50
31645,2010/7/5,女,6,浙江,CN,43
58877,2010/11/18,女,6,PARIS,FR,34
37994,2004/11/13,男,6,.,CN,47
28012,2006/11/23,男,5,CA,US,58
54943,2006/10/25,男,6,广东,CN,47
57881,2010/2/1,女,6,广东,CN,45
1254,2008/3/28,男,4,CALIFORNIA,US,63
8253,2010/7/15,男,6,新疆,CN,48
58899,2010/11/10,女,6,,FR,50
26955,2006/4/6,男,6,新疆,CN,54
41616,2011/8/29,男,6,广东,CN,41
21501,2008/7/30,男,6,北京,CN,49
41281,2011/6/7,男,6,NORD BRABANT,AN,
47229,2005/4/10,男,6,广东,CN,69
28474,2010/4/13,男,6,CA,US,41
58472,2010/2/14,女,5,,FR,48
13942,2010/10/14,男,6,FRANCE,FR,39
45075,2007/2/1,男,6,广东,CN,46
47114,2005/1/15,男,6,北京,CN,47
54619,2006/1/7,男,6,广东,CN,62
12349,2008/6/16,男,6,广东,CN,46
35883,2006/4/11,男,6,新疆,CN,55
56091,2004/11/25,女,6,广东省,CN,46
2137,2005/4/11,男,6,广东,CN,69
27708,2006/3/20,男,6,广东,CN,45
28014,2006/12/1,女,6,,FR,48
3539,2009/10/13,男,4,CALIFORNIA,US,53
56149,2005/2/13,男,4,广东,CN,39
44936,2006/3/30,男,6,新疆,CN,37
62751,2007/5/8,男,6,北京,CN,45
40066,2009/2/27,男,6,广东,CN,63
18793,2006/4/25,男,6,北京,CN,48
13963,2011/1/18,男,6,广东,CN,63
46084,2007/1/4,男,6,广东,CN,54
58798,2010/5/4,男,5,广东,CN,51
56089,2004/12/4,男,6,广东省,CN,49
58693,2010/12/11,男,6,,FR,39
28780,2012/7/13,男,6,广东,CN,47
27836,2006/7/16,男,6,北京,CN,59
38073,2005/1/26,男,6,湖南,CN,76
22629,2010/7/15,男,5,TOKYO-TO,JP,49
12326,2008/5/21,男,6,北京,CN,40
24222,2012/1/8,男,6,广东,CN,51
916,2006/11/18,男,6,广东,CN,46
45008,2007/12/10,男,5,新疆,CN,54
11523,2007/7/6,男,6,广东,CN,49
56088,2004/12/3,男,6,广东,CN,41
56573,2007/11/26,女,6,广东,CN,38
38883,2008/2/2,男,6,广东,CN,48
38035,2004/12/28,男,6,广东省,CN,42
11034,2005/1/26,男,5,.,CN,59
47143,2005/2/17,男,6,北京,CN,48
29033,2004/11/19,男,6,HK,HK,60
