会员卡号,积分兑换次数,总精英积分,总基本积分,年平均基本积分,BEGIN_TO_FIRST,总累计积分
54993,34,74460,505308,63163.5,2,619760
28065,29,41288,362480,45310,2,415768
55106,20,39711,351159,43894.875,10,406361
21189,11,34890,337314,42164.25,21,372204
39546,27,42265,273844,34230.5,3,338813
56972,10,27323,313338,39167.25,11,343121
44924,20,37689,248864,31108,11,298873
22631,7,39834,301864,37733,0,351198
32197,5,31700,262958,32869.75,7,295158
31645,13,47052,204855,25606.875,2,251907
58877,1,39018,298321,37290.125,2,337839
37994,15,44539,256093,32011.625,1,353101
28012,3,35539,210269,26283.625,20,245808
54943,14,26426,241614,30201.75,3,270704
57881,9,38028,289917,36239.625,0,328345
1254,6,23338,286164,35770.5,11,310002
8253,15,23381,219995,27499.375,40,257193
58899,12,31823,249882,31235.25,0,281705
26955,16,22036,215013,26876.625,23,249914
41616,0,24656,191038,23879.75,16,215694
21501,4,30493,220641,27580.125,51,251134
41281,7,29947,255573,31946.625,1,286520
47229,5,35222,193169,24146.125,13,277394
28474,8,24423,256337,32042.125,34,280760
58472,10,30638,204801,25600.125,31,235939
13942,7,32263,241719,30214.875,28,274882
45075,0,20801,217809,27226.125,0,795398
47114,8,20044,209810,26226.25,27,235176
54619,3,24873,209362,26170.25,5,237787
12349,9,22439,199866,24983.25,9,224081
35883,3,16804,195075,24384.375,29,211879
56091,8,13133,197222,24652.75,11,212131
2137,14,29222,199716,24964.5,1,234826
27708,8,17222,194326,24290.75,3,220012
28014,5,30870,218842,27355.25,1,251712
3539,9,29866,228851,28606.375,61,258717
56149,6,10881,228227,28528.375,57,239108
44936,5,15635,183336,22917,3,206363
62751,10,36878,206908,25863.5,7,260880
40066,1,15316,185232,23154,12,213436
18793,11,16458,191809,23976.125,1,210435
13963,13,23524,230527,28815.875,1,254051
46084,1,16249,190478,23809.75,3,220352
58798,0,13846,177032,22129,3,191878
56089,0,21971,208801,26100.125,1,230772
58693,4,18503,219390,27423.75,11,237893
28780,5,29067,190726,27246.57143,0,227957
27836,9,16722,181303,22662.875,2,200953
38073,2,18068,181982,22747.75,4,205938
22629,8,3520,195866,24483.25,11,199386
12326,5,38463,181836,22729.5,2,262134
24222,3,20286,186523,23315.375,3,206809
916,7,34242,192450,24056.25,1,226692
45008,3,16307,166322,20790.25,18,195368
11523,2,18450,175383,21922.875,29,201197
56088,19,26563,184392,23049,2,272042
56573,6,16559,163542,20442.75,51,199477
38883,2,28534,172529,21566.125,14,234654
38035,0,13923,163139,20392.375,5,177562
11034,5,23554,155120,19390,25,190530
47143,3,17121,165817,20727.125,11,186501
29033,4,22373,169956,21244.5,4,195217
16812,1,22629,182039,22754.875,0,204668
5241,12,27241,165370,20671.25,24,259585
49208,2,14977,188887,23610.875,46,219035
38241,8,14834,179574,22446.75,12,195796
38456,8,16653,188209,23526.125,67,206462
44377,10,17859,183443,22930.375,0,201302
49737,0,22588,99590,12448.75,2,134178
47919,3,13817,198230,24778.75,15,212047
23528,2,21218,161279,23039.85714,0,182497
58088,9,21134,179686,22460.75,11,202596
51079,4,23972,141827,17728.375,4,170799
19420,3,13099,155772,19471.5,2,170871
58753,2,20978,160297,20037.125,84,181775
13517,0,20527,187933,23491.625,23,208960
56048,1,26148,193780,38756,2,220828
50434,3,9342,196213,24526.625,38,206055
13869,1,21047,166991,20873.875,15,258781
47432,20,14726,167849,20981.125,2,224076
60658,4,27319,148518,18564.75,0,177837
9744,7,27633,168079,21009.875,27,210483
18111,5,12179,149456,18682,98,164783
42444,2,16051,116059,14507.375,23,154520
11055,3,22585,152555,19069.375,0,210280
47107,3,25317,142626,17828.25,3,167943
62880,0,15866,144803,18100.375,10,177907
49441,1,8057,162790,20348.75,11,175423
20569,6,13197,181871,22733.875,28,196377
47687,10,15886,153766,19220.75,16,171652
37305,6,23458,150790,18848.75,12,203485
58189,4,16913,178832,22354,74,198945
25857,8,14773,150057,18757.125,6,209250
951,0,17747,148491,18561.375,23,167126
4178,0,26166,181452,22681.5,326,208118
